Year,Category,Title,Type,Person,Won,Multiple Names
2023,Palme d'Or,Anatomy of a Fall,movie,Justine Triet,TRUE,FALSE
2023,Grand Prix,The Zone of Interest,movie,Jonathan Glazer,TRUE,FALSE
2023,Jury Prize,Fallen Leaves,movie,Aki Kaurismäki,TRUE,FALSE
2023,Best Director,The Taste of Things,movie,Tran Anh Hung,TRUE,FALSE
2023,Best Actress,About Dry Grasses,movie,Merve Dizdar,TRUE,FALSE
2023,Best Actor,Perfect Days,movie,Kōji Yakusho,TRUE,FALSE
2023,Best Screenplay,Monster,movie,Yuji Sakamoto,TRUE,FALSE
2023,Un Certain Regard Prize,How to Have Sex,movie,Molly Manning Walker,TRUE,FALSE
2023,Un Certain Regard Jury Prize,Hounds,movie,Kamal Lazraq,TRUE,FALSE
2023,Un Certain Regard Best Director,The Mother of All Lies,movie,Asmae El Moudir,TRUE,FALSE
2023,Un Certain Regard Freedom Prize,Goodbye Julia,movie,Mohamed Kordofani,TRUE,FALSE
2023,Un Certain Regard Ensemble Prize,The Buriti Flower,movie,João Salaviza; Renée Nader Messora,TRUE,TRUE
2023,Un Certain Regard New Voice Prize,Omen,movie,Baloji Tshiani,TRUE,FALSE
2023,Honorary Palme d'Or,Michael Douglas,movie,,TRUE,FALSE
2023,Honorary Palme d'Or,Harrison Ford,movie,,TRUE,FALSE
2023,Caméra d'Or,Inside the Yellow Cocoon Shell,movie,Pham Thien An,TRUE,FALSE
2023,Short Film Palme d'Or,27,movie,Flóra Anna Buda,TRUE,FALSE
2023,Special Mention,Intrusion,movie,Gunnur Martinsdóttir Schlüter,TRUE,FALSE
2023,First Prize,Norwegian Offspring,movie,Marlene Emilie Lyngstad,TRUE,FALSE
2023,Second Prize,Hole,movie,Hwang Hyein,TRUE,FALSE
2023,Third Prize,Moon,movie,Zineb Wakrim,TRUE,FALSE
2023,Palme d'Or,Asphalt City,movie,Jean-Stéphane Sauvaire,FALSE,FALSE
2023,Palme d'Or,Banel & Adama(CdO),movie,Ramata-Toulaye Sy,FALSE,FALSE
2023,Palme d'Or,A Brighter Tomorrow,movie,Nanni Moretti,FALSE,FALSE
2023,Palme d'Or,La chimera,movie,"Italy, France, Switzerland",FALSE,FALSE
2023,Palme d'Or,Club Zero,movie,"Austria, Denmark, France, Germany, United Kingdom, Qatar",FALSE,FALSE
2023,Palme d'Or,Firebrand,movie,United Kingdom,FALSE,FALSE
2023,Palme d'Or,Four Daughters(ŒdO),movie,Kaouther Ben Hania,FALSE,FALSE
2023,Palme d'Or,Homecoming,movie,Catherine Corsini,FALSE,FALSE
2023,Palme d'Or,Kidnapped,movie,Marco Bellocchio,FALSE,FALSE
2023,Palme d'Or,Last Summer,movie,Catherine Breillat,FALSE,FALSE
2023,Palme d'Or,May December,movie,United States,FALSE,FALSE
2023,Palme d'Or,The Old Oak,movie,"United Kingdom, France, Belgium",FALSE,FALSE
2023,Palme d'Or,Youth (Spring)(ŒdO),movie,Wang Bing,FALSE,FALSE
