Year,Category,Title,Type,Person,Won,Multiple Names
2024,Best Picture,Oppenheimer,movie,Emma Thomas; Charles Roven; Christopher Nolan,TRUE,TRUE
2024,Best Picture,American Fiction,movie,Ben LeClair; Nikos Karamigios; Cord Jefferson; Jermaine Johnson,FALSE,TRUE
2024,Best Picture,Anatomy of a Fall,movie,Marie-Ange Luciani; David Thion,FALSE,TRUE
2024,Best Picture,Barbie,movie,David Heyman; Margot Robbie; Tom Ackerley; Robbie Brenner,FALSE,TRUE
2024,Best Picture,The Holdovers,movie,Mark Johnson,FALSE,FALSE
2024,Best Picture,Killers of the Flower Moon,movie,Dan Friedkin; Bradley Thomas; Martin Scorsese; Daniel Lupi,FALSE,TRUE
2024,Best Picture,Maestro,movie,Bradley Cooper; Steven Spielberg; Fred Berner; Amy Durning; Kristie Macosko Krieger,FALSE,TRUE
2024,Best Picture,Past Lives,movie,David Hinojosa; Christine Vachon; Pamela Koffler,FALSE,TRUE
2024,Best Picture,Poor Things,movie,Ed Guiney; Andrew Lowe; Yorgos Lanthimos; Emma Stone,FALSE,TRUE
2024,Best Picture,The Zone of Interest,movie,James Wilson,FALSE,FALSE
2024,Best Directing,Oppenheimer,movie,Christopher Nolan,TRUE,FALSE
2024,Best Directing,Anatomy of a Fall,movie,Justine Triet,FALSE,FALSE
2024,Best Directing,Killers of the Flower Moon,movie,Martin Scorsese,FALSE,FALSE
2024,Best Directing,Poor Things,movie,Yorgos Lanthimos,FALSE,FALSE
2024,Best Directing,The Zone of Interest,movie,Jonathan Glazer,FALSE,FALSE
2024,Best Actor in a Leading Role,Oppenheimer,movie,Cillian Murphy,TRUE,FALSE
2024,Best Actor in a Leading Role,Maestro,movie,Bradley Cooper,FALSE,FALSE
2024,Best Actor in a Leading Role,Rustin,movie,Colman Domingo,FALSE,FALSE
2024,Best Actor in a Leading Role,The Holdovers,movie,Paul Giamatti,FALSE,FALSE
2024,Best Actor in a Leading Role,American Fiction,movie,Jeffrey Wright,FALSE,FALSE
2024,Best Actress in a Leading Role,Poor Things,movie,Emma Stone,TRUE,FALSE
2024,Best Actress in a Leading Role,Nyad,movie,Annette Bening,FALSE,FALSE
2024,Best Actress in a Leading Role,Killers of the Flower Moon,movie,Lily Gladstone,FALSE,FALSE
2024,Best Actress in a Leading Role,Anatomy of a Fall,movie,Sandra Hüller,FALSE,FALSE
2024,Best Actress in a Leading Role,Maestro,movie,Carey Mulligan,FALSE,FALSE
2024,Best Actor in a Supporting Role,Oppenheimer,movie,Robert Downey Jr.,TRUE,FALSE
2024,Best Actor in a Supporting Role,American Fiction,movie,Sterling K. Brown,FALSE,FALSE
2024,Best Actor in a Supporting Role,Killers of the Flower Moon,movie,Robert De Niro,FALSE,FALSE
2024,Best Actor in a Supporting Role,Barbie,movie,Ryan Gosling,FALSE,FALSE
2024,Best Actor in a Supporting Role,Poor Things,movie,Mark Ruffalo,FALSE,FALSE
2024,Best Actress in a Supporting Role,The Holdovers,movie,Da'Vine Joy Randolph,TRUE,FALSE
2024,Best Actress in a Supporting Role,Oppenheimer,movie,Emily Blunt,FALSE,FALSE
2024,Best Actress in a Supporting Role,The Color Purple,movie,Danielle Brooks,FALSE,FALSE
2024,Best Actress in a Supporting Role,Barbie,movie,America Ferrera,FALSE,FALSE
2024,Best Actress in a Supporting Role,Nyad,movie,Jodie Foster,FALSE,FALSE
2024,Best Writing (Original Screenplay),Anatomy of a Fall,movie,Justine Triet; Arthur Harari,TRUE,TRUE
2024,Best Writing (Original Screenplay),The Holdovers,movie,David Hemingson,FALSE,FALSE
2024,Best Writing (Original Screenplay),Maestro,movie,Bradley Cooper; Josh Singer,FALSE,TRUE
2024,Best Writing (Original Screenplay),May December,movie,Screenplay by Samy Burch; Story by Samy Burch; Alex Mechanik,FALSE,TRUE
2024,Best Writing (Original Screenplay),Past Lives,movie,Celine Song,FALSE,FALSE
2024,Best Writing (Adapted Screenplay),American Fiction,movie,Cord Jefferson,TRUE,FALSE
2024,Best Writing (Adapted Screenplay),Barbie,movie,Greta Gerwig; Noah Baumbach,FALSE,TRUE
2024,Best Writing (Adapted Screenplay),Oppenheimer,movie,Christopher Nolan,FALSE,FALSE
2024,Best Writing (Adapted Screenplay),Poor Things,movie,Tony McNamara,FALSE,FALSE
2024,Best Writing (Adapted Screenplay),The Zone of Interest,movie,Jonathan Glazer,FALSE,FALSE
2024,Best Animated Feature Film,The Boy and the Heron,movie,Hayao Miyazaki; Toshio Suzuki,TRUE,TRUE
2024,Best Animated Feature Film,Elemental,movie,Peter Sohn; Denise Ream,FALSE,TRUE
2024,Best Animated Feature Film,Nimona,movie,Nick Bruno; Troy Quane; Karen Ryan; Julie Zackary,FALSE,TRUE
2024,Best Animated Feature Film,Robot Dreams,movie,Pablo Berger; Ibon Cormenzana; Ignasi Estapé; Sandra Tapia Díaz,FALSE,TRUE
2024,Best Animated Feature Film,Spider-Man: Across the Spider-Verse,movie,Kemp Powers; Justin K. Thompson; Phil Lord; Christopher Miller; Amy Pascal,FALSE,TRUE
2024,Best International Feature Film,The Zone of Interest,movie,(United Kingdom) in German; Polish; Yiddish – directed by Jonathan Glazer,TRUE,TRUE
2024,Best International Feature Film,Io capitano,movie,(Italy) in Wolof; French – directed by Matteo Garrone,FALSE,TRUE
2024,Best International Feature Film,Perfect Days,movie,(Japan) in Japanese – directed by Wim Wenders,FALSE,FALSE
2024,Best International Feature Film,Society of the Snow,movie,(Spain) in Spanish – directed by J. A. Bayona,FALSE,FALSE
2024,Best International Feature Film,The Teachers' Lounge,movie,(Germany) in German; Turkish; Polish; English – directed by İlker Çatak,FALSE,TRUE
2024,Best Documentary Feature Film,20 Days in Mariupol,movie,Mstyslav Chernov; Michelle Mizner; Raney Aronson-Rath,TRUE,TRUE
2024,Best Documentary Feature Film,Bobi Wine: The People's President,movie,Moses Bwayo; Christopher Sharp; John Battsek,FALSE,TRUE
2024,Best Documentary Feature Film,The Eternal Memory,movie,Maite Alberdi,FALSE,FALSE
